"","species_name","Kingdom","Phylum","Oblig/Fac","Simple/Complex","SterileCells","SterileProp","Types","Number","Sex","Fission","Fragmentation","GermTime","GermTimeSimp","Type/Number","SomaTypes","Soma/Number","GermNumeric"
"47","Eudorina cylindrica","Plantae","Chlorophyta","obligate","simple","yes",NA,2,16,"1","0",NA,"0","no_germline",0.125,1,0.0625,"0"
"48","Eudorina elegans","Plantae","Chlorophyta","obligate","simple","yes",12.5,1,32,"1","0",NA,"0","no_germline",0.03125,0,0,"0"
"49","Eudorina minodii","Plantae","Chlorophyta","obligate","simple","no",0,1,32,"1","0",NA,"0","no_germline",0.03125,0,0,"0"
"50","Eudorina unicocca","Plantae","Chlorophyta","obligate","simple","no",0,1,32,"1","0",NA,"0","no_germline",0.03125,0,0,"0"
"51","Farlowia mollis","Plantae","Rhodophyta","obligate","complex","yes",NA,7,3162277660,"1","1","f","3","adult",2.21359436223573e-09,6,1.89736659620206e-09,"2"
"52","Fucus vesiculosus","Chromista","Ochrophyta","obligate","complex","yes",NA,7,3.16e+12,"1","1",NA,"3","adult",2.21518987341772e-12,6,1.89873417721519e-12,"2"
"53","Fuirena ciliaris","Plantae","Tracheophyta","obligate","complex","yes",NA,44,2.5119e+10,"1","1","b","3","adult",1.75166208845894e-09,43,1.71185158644851e-09,"2"
"54","Funaria hygrometrica","Plantae","Bryophyta","obligate","complex","yes",NA,20,251188643,"1","1","b","3","adult",7.96214341585499e-08,19,7.56403624506224e-08,"2"
"55","Gloeophycus koreanus","Plantae","Rhodophyta","obligate","complex","yes",NA,12,6.3096e+10,"1","1","f","3","adult",1.90186382655002e-10,11,1.74337517433752e-10,"2"
"56","Gonium multicoccum","Plantae","Chlorophyta","obligate","simple","no",0,1,32,"1","0","f","0","no_germline",0.03125,0,0,"0"
"57","Gonium pectorale","Plantae","Chlorophyta","obligate","simple","no",0,1,16,"1","0","f","0","no_germline",0.0625,0,0,"0"
"58","Gonium quadratum","Plantae","Chlorophyta","obligate","simple","no",0,1,16,"1","0","f","0","no_germline",0.0625,0,0,"0"
"59","Gonium viridistellatum","Plantae","Chlorophyta","obligate","simple","no",0,1,16,"1","0","f","0","no_germline",0.0625,0,0,"0"
"60","Gymnoascus reessii","Fungi","Ascomycota","obligate","complex","yes",NA,5,15849,"1","1","f","3","adult",0.000315477317180895,4,0.000252381853744716,"2"
"61","Halymenia asymmetrica","Plantae","Rhodophyta","obligate","complex","yes",NA,13,6.3096e+10,"1","1","f","3","adult",2.06035247876252e-10,12,1.90186382655002e-10,"2"
"62","Haplospora globosa","Chromista","Ochrophyta","obligate","complex","yes",NA,4,2.5119e+10,"0","1","b","3","adult",1.59242008041721e-10,3,1.19431506031291e-10,"2"
"63","Helminthostachys zeylanica","Plantae","Tracheophyta","obligate","complex","yes",NA,5,70794579,"1","1","b","3","adult",7.06268766708818e-08,4,5.65015013367055e-08,"2"
"64","Heteroglossum carnosum","Plantae","Rhodophyta","obligate","complex","yes",NA,11,1e+09,"1","1","f","3","adult",1.1e-08,10,1e-08,"2"
"65","Heteroralfsia saxicola","Chromista","Ochrophyta","obligate","complex","yes",NA,9,794328235,"1","0",NA,"3","adult",1.13303287022146e-08,8,1.00714032908575e-08,"2"
"66","Himantothallus grandifolius","Chromista","Ochrophyta","obligate","complex","yes",NA,14,1.58e+12,"1","0",NA,"3","adult",8.86075949367089e-12,13,8.22784810126582e-12,"2"
"67","Hirudo medicinalis","Animalia","Annelida","obligate","complex","yes",NA,26,1.9953e+10,"1","0","none","1","early",1.30306219616098e-09,25,1.25294441938556e-09,"1"
"68","Hummia onusta","Chromista","Ochrophyta","obligate","complex","yes",NA,5,1e+08,"1","0",NA,"3","adult",5e-08,4,4e-08,"2"
"69","Hydra vulgaris","Animalia","Cnidaria","obligate","complex","yes",NA,15,63096,"1","1","Budding","3","adult",0.000237732978318752,14,0.000221884113097502,"2"
"70","Hymenophyllum tunbridgense","Plantae","Tracheophyta","obligate","complex","yes",NA,15,7079457844,"0","1","b","3","adult",2.11880631688666e-09,14,1.97755256242755e-09,"2"
"71","Isthmoplea sphaerophora","Chromista","Ochrophyta","obligate","complex","yes",NA,3,15849,"1","1","b","3","adult",0.000189286390308537,2,0.000126190926872358,"2"
"72","Kurogiella saxatilis","Chromista","Ochrophyta","obligate","complex","yes",NA,7,2.5119e+10,"0","0",NA,"3","adult",2.78673514073012e-10,6,2.38863012062582e-10,"2"
"73","Laminaria dentigera","Chromista","Ochrophyta","obligate","complex","yes",NA,14,1.26e+11,"1","0","f","3","adult",1.11111111111111e-10,13,1.03174603174603e-10,"2"
"74","Leathesia difformis","Chromista","Ochrophyta","obligate","complex","yes",NA,6,3.9811e+10,"1","0",NA,"3","adult",1.50712114742157e-10,5,1.25593428951797e-10,"2"
"75","Lemna minor","Plantae","Tracheophyta","obligate","complex","yes",NA,18,794329,"1","1","b","3","adult",2.26606355804711e-05,17,2.1401711381556e-05,"2"
"76","Lomandra hermaphrodita","Plantae","Tracheophyta","obligate","complex","yes",NA,36,3.5481e+10,"1","1","b","3","adult",1.0146275471379e-09,35,9.86443448606296e-10,"2"
"77","Loxosoma saltans","Animalia","Kamptozoa","obligate","complex","yes",NA,16,3549,"1","1","Budding","3","adult",0.00450831220061989,15,0.00422654268808115,"2"
"78","Lumbricus terrestris","Animalia","Annelida","obligate","complex","yes",NA,57,1e+10,"1","0","none","1,2","early",5.7e-09,56,5.6e-09,"1"
"79","Macrostomum tuba","Animalia","Platyhelminthes","obligate","complex","yes",NA,14,501188,"1","0","none","3","adult",2.79336296958427e-05,13,2.59383704318539e-05,"2"
"80","Mammillaria elongata","Plantae","Tracheophyta","obligate","complex","yes",NA,27,6.3096e+10,"1","1","b","3","adult",4.27919360973754e-10,26,4.12070495752504e-10,"2"
"81","Membranoptera subtropica","Plantae","Rhodophyta","obligate","complex","yes",NA,12,6309574,"1","1","f","3","adult",1.90187166360201e-06,11,1.74338235830184e-06,"2"
"82","Mesogloia linearis","Chromista","Ochrophyta","obligate","complex","yes",NA,6,1e+10,"1","0",NA,"3","adult",6e-10,5,5e-10,"2"
"83","Monoclea forsteri","Plantae","Marchantiophyta","obligate","complex","yes",NA,13,3162278,"1","1","f&b","3","adult",4.11096051643783e-06,12,3.79473278440415e-06,"2"
"84","Morone saxatilis","Animalia","Chordata","obligate","complex","yes",NA,122,2.51e+11,"1","0","none","1,2","early",4.8605577689243e-10,121,4.8207171314741e-10,"1"
"85","Mus musculus","Animalia","Chordata","obligate","complex","yes",NA,102,2e+11,"1","0","none","1,2","early",5.1e-10,101,5.05e-10,"1"
"86","Nais variabilis","Animalia","Annelida","obligate","complex","yes",NA,13,251189,"1","1","fission","1,2","early",5.17538586482688e-05,12,4.7772792598402e-05,"1"
"87","Neomenia carinata","Animalia","Mollusca","obligate","complex","yes",NA,7,1000,"1","0",NA,"?",NA,0.007,6,0.006,NA
"88","Nostoc","Bacteria","Cyanobacteria","obligate","simple","yes",NA,3,350,"0","1","fission","3","adult",0.00857142857142857,2,0.00571428571428571,"2"
"89","Notholca acuminata","Animalia","Rotifera","obligate","complex","yes",NA,13,3163,"0","0","None","1","early",0.0041100221308884,12,0.00379386658235852,"1"
"90","Oncorhynchus mykiss","Animalia","Chordata","obligate","complex","yes",NA,116,2.51e+11,"1","0","none","1,2","early",4.62151394422311e-10,115,4.58167330677291e-10,"1"
"91","Oscillatoria sancta","Bacteria","Cyanobacteria","obligate","simple","yes",NA,2,100,"0","1","fission","0","no_germline",0.02,1,0.01,"0"
"92","Pandorina colemaniae","Plantae","Chlorophyta","obligate","simple","no",0,1,16,"1","0",NA,"0","no_germline",0.0625,0,0,"0"
"93","Pandorina morum","Plantae","Chlorophyta","obligate","simple","no",0,1,16,"1","0",NA,"0","no_germline",0.0625,0,0,"0"
"94","Pedicellina cernua","Animalia","Kamptozoa","obligate","complex","yes",NA,10,39811,"1","1","Budding","3","adult",0.000251186857903594,9,0.000226068172113235,"2"
"95","Periplaneta americana","Animalia","Arthropoda","obligate","complex","yes",NA,50,3162277660,"1","0","none","1,2","early",1.58113883016838e-08,49,1.54951605356501e-08,"1"
"96","Petermannia cirrosa","Plantae","Tracheophyta","obligate","complex","yes",NA,39,2.5119e+10,"1","0","b","3","adult",1.55260957840678e-09,38,1.51279907639635e-09,"2"
"97","Pinus monophylla","Plantae","Tracheophyta","obligate","complex","yes",NA,30,1e+10,"1","0","f?","3","adult",3e-09,29,2.9e-09,"2"
"98","Pisione remota","Animalia","Annelida","obligate","complex","yes",NA,11,44669,"1","0","none","1,2","early",0.000246255792607849,10,0.000223868902370772,"1"
"99","Platydorina caudata","Plantae","Chlorophyta","obligate","simple","no",0,1,32,"1","0",NA,"0","no_germline",0.03125,0,0,"0"
"100","Pleodorina californica","Plantae","Chlorophyta","obligate","simple","yes",NA,2,128,"1","0",NA,"3","adult",0.015625,1,0.0078125,"2"
"101","Pleodorina illinoisensis","Plantae","Chlorophyta","obligate","simple","yes",25,2,32,"1","0",NA,"3","adult",0.0625,1,0.03125,"2"
"102","Pleodorina indica","Plantae","Chlorophyta","obligate","simple","yes",50,2,128,"1","0",NA,"3","adult",0.015625,1,0.0078125,"2"
"103","Pleodorina japonica","Plantae","Chlorophyta","obligate","simple","yes",NA,2,128,"1","0",NA,"3","adult",0.015625,1,0.0078125,"2"
"104","Pogonatum neesii","Plantae","Bryophyta","obligate","complex","yes",NA,21,707945784,"1","1","b","3","adult",2.96632884531734e-08,20,2.82507509077842e-08,"2"
"105","Polytrichum commune","Plantae","Bryophyta","obligate","complex","yes",NA,26,1e+09,"0","1","b","3","adult",2.6e-08,25,2.5e-08,"2"
"106","Ptilophora scalaramosa","Plantae","Rhodophyta","obligate","complex","yes",NA,12,3.1623e+10,"1","0","None","3","adult",3.79470638459349e-10,11,3.47848085254403e-10,"2"
"107","Pycnophyes frequens","Animalia","Cephalorhyncha","obligate","complex","yes",NA,16,7944,"1","0","none","2","early",0.00201409869083585,15,0.00188821752265861,"1"
"108","Ralfsia verrucosa","Chromista","Ochrophyta","obligate","complex","yes",NA,8,630957345,"0","1","f","3","adult",1.26791455292433e-08,7,1.10942523380879e-08,"2"
"109","Rastrognathia macrostoma","Animalia","Gnathostomulida","obligate","complex","yes",NA,13,3163,"1","0","none","?",NA,0.0041100221308884,12,0.00379386658235852,NA
"110","Rhabditis monhystera","Animalia","Nematoda","obligate","complex","yes",NA,23,447,"1","0",NA,"1","early",0.0514541387024608,22,0.0492170022371365,"1"
"111","Rhopalura granosa","Animalia","Orthonectida","obligate","complex","yes",NA,3,1413,"1","0","none","?",NA,0.00212314225053079,2,0.00141542816702052,NA
"112","Sagittaria lancifolia","Plantae","Tracheophyta","obligate","complex","yes",NA,42,1e+11,"1","1","b","3","adult",4.2e-10,41,4.1e-10,"2"
"113","Sarconema scinaioides","Plantae","Rhodophyta","obligate","complex","yes",NA,13,2511886432,"1","1","f","3","adult",5.17539321618502e-09,12,4.77728604570925e-09,"2"
"114","Schimmelmannia dawsonii","Plantae","Rhodophyta","obligate","complex","yes",NA,11,2.51e+11,"1","1",NA,"3","adult",4.38247011952191e-11,10,3.98406374501992e-11,"2"
"115","Schmidtea mediterranea","Animalia","Platyhelminthes","obligate","complex","yes",NA,14,1778280,"1","1","fission","3","adult",7.87277594079672e-06,13,7.31043480216839e-06,"2"
"116","Schmitzia hiscockiana","Plantae","Rhodophyta","obligate","complex","yes",NA,14,2e+11,"1","1","f","3","adult",7e-11,13,6.5e-11,"2"
"117","Scytosiphon lomentaria","Chromista","Ochrophyta","obligate","complex","yes",NA,4,794328235,"1","1","f","3","adult",5.03570164542873e-09,3,3.77677623407155e-09,"2"
"118","Selenipedium palmifolium","Plantae","Tracheophyta","obligate","complex","yes",NA,35,1.2589e+10,"1","0","b","3","adult",2.78020494082135e-09,34,2.70077051394074e-09,"2"
"119","Sphacelaria cirrosa","Chromista","Ochrophyta","obligate","complex","yes",NA,9,1258925412,"1","1","f","3","adult",7.14895411134969e-09,8,6.35462587675528e-09,"2"
"120","Sphaerobolus stellatus","Fungi","Basidiomycota","obligate","complex","yes",NA,9,1258926,"1","1","f","3","adult",7.14895077232498e-06,8,6.35462290873332e-06,"2"
"121","Spirobranchus triqueter","Animalia","Annelida","obligate","complex","yes",NA,12,70795,"1","0","none","1,2","early",0.000169503496009605,11,0.000155378204675471,"1"
"122","Spongilla lacustris","Animalia","Porifera","obligate","complex","yes",NA,16,10000,"1","1","fission","3","adult",0.0016,15,0.0015,"2"
"123","Symphyogyna brongniartii","Plantae","Marchantiophyta","obligate","complex","yes",NA,13,446684,"1","0","b","3","adult",2.91033482282777e-05,12,2.68646291337948e-05,"2"
"124","Syringoderma phinneyi","Chromista","Ochrophyta","obligate","complex","yes",NA,6,199527,"1","0",NA,"3","adult",3.00711181945301e-05,5,2.50592651621084e-05,"2"
"125","Tetrabaena socialis","Plantae","Chlorophyta","obligate","simple","no",0,1,4,"1","1","f","0","no_germline",0.25,0,0,"0"
"126","Thalassoanaperus sulcatus","Animalia","Xenacoelomorpha","obligate","complex","yes",NA,9,125892542,"0","0","?","3","adult",7.14895406592076e-08,8,6.35462583637401e-08,"2"
"127","Trichoplax adhaerens","Animalia","Placozoa","obligate","complex","yes",NA,4,317,"1","1","fission","3","adult",0.0126182965299685,3,0.00946372239747634,"2"
"128","Turbanella cornuta","Animalia","Gastrotricha","obligate","complex","yes",NA,18,7080,"1","0","none","1","early",0.00254237288135593,17,0.00240112994350283,"1"
"129","Valvognathia pogonostoma","Animalia","Gnathostomulida","obligate","complex","yes",NA,15,1779,"1","0","none","?",NA,0.00843170320404722,14,0.00786958965711074,NA
"130","Volvox africanus","Plantae","Chlorophyta","obligate","simple","yes",99.9,2,8192,"1","0",NA,"3","adult",0.000244140625,1,0.0001220703125,"2"
"131","Volvox aureus","Plantae","Chlorophyta","obligate","simple","yes",NA,2,2048,"1","0",NA,"3","adult",0.0009765625,1,0.00048828125,"2"
"132","Volvox barberi","Plantae","Chlorophyta","obligate","simple","yes",99.98,2,32768,"1","0",NA,"3","adult",6.103515625e-05,1,3.0517578125e-05,"2"
"133","Volvox carteri f. kawasakiensis","Plantae","Chlorophyta","obligate","simple","yes",99,2,2048,"1","0",NA,"2","early",0.0009765625,1,0.00048828125,"1"
"134","Volvox carteri f. nagariensis","Plantae","Chlorophyta","obligate","simple","yes",99,2,4096,"1","0",NA,"2","early",0.00048828125,1,0.000244140625,"1"
"135","Volvox carteri f. weismannia","Plantae","Chlorophyta","obligate","simple","yes",99,2,2048,"1","0",NA,"2","early",0.0009765625,1,0.00048828125,"1"
"136","Volvox dissipatrix","Plantae","Chlorophyta","obligate","simple","yes",NA,2,16384,"1","0",NA,"3","adult",0.0001220703125,1,6.103515625e-05,"2"
"137","Volvox gigas","Plantae","Chlorophyta","obligate","simple","yes",93.75,2,4096,"1","0",NA,"3","adult",0.00048828125,1,0.000244140625,"2"
"138","Volvox globator","Plantae","Chlorophyta","obligate","simple","yes",NA,2,16384,"1","0",NA,"3","adult",0.0001220703125,1,6.103515625e-05,"2"
"139","Volvox obversus","Plantae","Chlorophyta","obligate","simple","yes",NA,2,2048,"1","0",NA,"2","early",0.0009765625,1,0.00048828125,"1"
"140","Volvox rousseletii","Plantae","Chlorophyta","obligate","simple","yes",NA,2,32768,"1","0",NA,"3","adult",6.103515625e-05,1,3.0517578125e-05,"2"
"141","Volvox tertius","Plantae","Chlorophyta","obligate","simple","yes",98.8,2,1024,"1","0",NA,"3","adult",0.001953125,1,0.0009765625,"2"
"142","Volvulina boldii","Plantae","Chlorophyta","obligate","simple","no",0,1,16,"1","0",NA,"0","no_germline",0.0625,0,0,"0"
"143","Volvulina compacta","Plantae","Chlorophyta","obligate","simple","no",0,1,16,"1","0",NA,"0","no_germline",0.0625,0,0,"0"
"144","Volvulina pringsheimii","Plantae","Chlorophyta","obligate","simple","no",0,1,16,"1","0",NA,"0","no_germline",0.0625,0,0,"0"
"145","Volvulina steinii","Plantae","Chlorophyta","obligate","simple","no",0,1,16,"1","0",NA,"0","no_germline",0.0625,0,0,"0"
"146","Wolffia arrhiza","Plantae","Tracheophyta","obligate","complex","yes",NA,5,10000,"0","1","b","3","adult",5e-04,4,4e-04,"2"
"147","Wolffia microscopica","Plantae","Tracheophyta","obligate","complex","yes",NA,7,70795,"1","1","b","3","adult",9.88770393389364e-05,6,8.47517480048026e-05,"2"
"148","Yamadaella caenomyce","Plantae","Rhodophyta","obligate","complex","yes",NA,7,3981071706,"1","0","none","3","adult",1.75832050185132e-09,6,1.5071318587297e-09,"2"
"149","Yamagishiella unicocca","Plantae","Chlorophyta","obligate","simple","no",0,1,32,"1","0",NA,"0","no_germline",0.03125,0,0,"0"
"150","Zeacarpa leiomorpha","Plantae","Chlorophyta","obligate","complex","yes",NA,8,7943282347,"1","0",NA,"3","adult",1.00714032946612e-09,7,8.81247788282856e-10,"2"
"151","Zoothamnium alternans","Chromista","Ciliophora","obligate","simple","yes",NA,4,142,"1","0",NA,"3","adult",0.028169014084507,3,0.0211267605633803,"2"
