species,species_original_name,Obligate_or_facultative,Simple_or_complex,Sterile_soma,Proportion_of_sterile_cells,cell_types,cell_number,clonal,Fisher Ref,kingdom,phylum,class,order,taxon,SexualReproductionObserved_Species,AsexualGameticObserved_Species,FissionOrBuddingObserved_Species,SexualReproductionObserved_Genus,AsexualGameticObserved_Genus,FissionOrBuddingObserved_Genus,notes,germline_timing,References
Asperococcus fistulosus,Asperococcus fistulosus,obligate,complex,yes,NA,5,10000000000,clonal,[30],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,0,0,1,0,0,"Can’t find any info, either with older names. Asexual reproduction and gametes in Fletcher 1987, book available at natural history museum at KU",3,(24-26)
Astrephomene gubernaculifera,Astrephomene gubernaculifera,obligate,simple,yes,NA,2,64,clonal,"[27, 28]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,0,"in simpler volvocine algae, all cells switch to reproductive and start new colonies",3,(27-30)
Astrephomene perforata,Astrephomene perforata,obligate,simple,yes,NA,2,64,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,0,"Could describ reproduction in volvocine algae as budding: growth of a propagule from a single cell within the body, and then splitting off. ",3,(27-30)
Bacillus subtilis,Bacillus subtilis,facultative,simple,no,0,2,NA,non-clonal,[3],Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,0,1,0,0,1,0,"Branda 2001: Forms films and fruiting bodies, could film split up? Doesn’t really form individuals…",3,(31)
Basichlamys sacculifera,Basichlamys sacculifera,obligate,simple,no,0,1,4,clonal,[25],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Tetrabaenaceae,1,1,0,1,1,0,Previously belonged to gonium,0,(27-30)
Botryocladia wynnei,Botryocladia wynnei,obligate,complex,yes,NA,6,3981071.71,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,1,0,1,1,0,1,Many red and brown algae are cultivated by taking pieces and growing them: does this happen in nature? (At least one of references here describes how fish can cause fragmentation). Worms database describes asexual reproduction and gametes. Red grape algae can be propagated by cutting (common in aquarium trade),3,"(3, 24, 32) (https://www.reef2reef.com/threads/propagating-red-grape-macroalgae-botryocladia-sp.505240/)"
Caenorhabditis elegans,caenorhabditis elegans,obligate,complex,yes,NA,24,891.25,clonal,[21],Animalia,Nematoda,Secernentea,Rhabditida,Rhabditidae,1,0,0,1,0,0,"Can self-fertilise, but not parthenogenesis, and not fission. Diploscapter pachys (another nematode) can reproduce parthenogenetically",1,"(2, 6)"
Callinectes sapidus,Callinectes sapidus,obligate,complex,yes,NA,69,316000000000.00,clonal,[21],Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,1,0,0,1,0,0,"Hines: females mate once and store sperm. Some crayfish can be parthenogenetic, but can’t see any crabs","1,2","(2, 6, 33)"
Calothrix,Calothrix,obligate,simple,yes,NA,3,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,0,1,1,0,1,1,Schirrmeister 2011: section IV,3,"(15, 16)"
Candida albicans,Candida albicans,facultative,simple,no,0,3,NA,clonal,"[21, 55]",Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,1,1,1,1,1,1,"Forms hyphae, but cells all remain viable. Sex in Hickman 2013",0,"(3, 34)"
Canis lupus,Canis familiaris,obligate,complex,yes,NA,99,50100000000000.00,clonal,[21],Animalia,Chordata,Mammalia,Carnivora,Canidae,1,0,0,1,0,0,,"1,2","(2, 6)"
Carpomitra costata,Carpomitra costata,obligate,complex,yes,NA,7,2511886432,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Sporochnales,Sporochnaceae,1,0,0,1,0,0,Orfanidis 1993 describes the gametophyte and ‘fragments were allowed to settle’. WoRMs describes gametes. ,3,"(3, 24, 35)"
Cavenderia fasciculata,Dictyostelium fasciculatum,facultative,simple,yes,20,2,NA,non-clonal,[47],Protozoa,Mycetozoa,Dictyosteliomycetes,Acytosteliales,Cavenderiaceae,1,1,1,1,1,1,"Baldauf and strassman:group splits into multiple smaller sporogens in Ca. Bifurcatum, Sheikh 2018 for C. fasciculata",3,(36-39)
Cheiroglossa palmata,Ophioglossum palmatum,obligate,complex,yes,NA,14,6309573445,clonal,[21],Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,1,0,0,1,0,1,"Mesler 1975 describes gametophytes, which lead to sporophytes in O palmatum (but says that apogamy cannot be rules out). Whittier 2011 describes ophioglossum pendulum gametophytes. McMaster 1996 describes vegetative spread by rhizome in ophioglossum pusillum.",3,"(3, 40) (41) (42, 43) (44)"
Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,facultative,simple,no,0,1,1,clonal,"[23, 24]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,1,1,0,1,1,0,,0,(27-30)
Chlorogloeopsis,Chlorogloeopsis,obligate,simple,yes,NA,2,22,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,0,1,1,0,1,1,"Schirrmeister 2011: forms shortish trichomes, can release single cells, groups or fragment into short, section V",3,"(15, 16)"
Chondromyces crocatus,Chondromyces crocatus,facultative,simple,yes,NA,2,NA,non-clonal,[10],Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,0,1,0,0,1,0,,3,(45)
Chordaria flagelliformis,Chordaria flagelliformis,obligate,complex,yes,NA,6,3981071706,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,0,0,0,1,0,0,"Black whip algae. Can’t see any useful info. Peters 1992 discusses sex in chordaria, Kornmann 1962 discusses long sporangia which release zooids with stigma (but in German…)",3,"(3, 24, 46, 47) (48)"
Chordodasiopsis antennatus,chordodasys antennatus,obligate,complex,yes,NA,15,1258.93,clonal,[21],Animalia,Gastrotricha,Gastrotricha,Macrodasyida,Xenodasyidae,1,0,0,1,0,0,"Can’t see any reports, but macrodasiyds referred to as pretty homogeneous in Teuchert. Gonads and sperm described in Reiger 1974",1,"(2, 6, 49, 50)"
Cladostephus spongiosus,Cladostephus spongiosus verticillatus,obligate,complex,yes,NA,8,125892541,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Sphacelariales,Cladostephaceae,1,1,1,1,1,1,"Gibson 1994: parthenogenesis and sex, but “importance of vegetative reproduction not known and requires investigation”.  Algaebase: unattached forms that are produced by fragmentation. Gibson 1989 noted fragments of mature plants could develop into platelets. Sauvageau 1900-1914 discuss vegetative reproduction. (See Gibson 2013 Reproduction in sphacelariales for these refs). ",3,"(3, 24, 51) (52)"
Clostridium,Clostridium,facultative,simple,no,0,2,NA,non-clonal,"[1], [2]",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,0,1,0,0,1,0,"Harshey 1994: Swarming, cells remain viable (still viable during the stalk?",0,(53)
Colpomenia sinuosa,Colpomenia sinuosa,obligate,complex,yes,NA,5,1995262315,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,1,1,0,1,1,0,"Kogame 1997: vague terms used that aren’t v. helpful. Toste 2003 for C. sinuosa: sexual/asexual, no mention of fragmentation",3,"(3, 24, 54, 55)"
Conocephalum conicum,Conocephalum conicum,obligate,complex,yes,NA,15,3162277.66,clonal,"[21, 37]",Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Conocephalaceae,1,0,1,1,0,1,"Paton: pg 26, budding. Is a website that describes fragmentation, but they reference this book and can’t se it",3,"(3, 56, 57)"
Conocyema polymorpha,conocyema polymorpha,obligate,complex,yes,NA,3,28.18,clonal,[21],Animalia,Dicyemida,Rhombozoa,Rhombozoa,Conocyemidae,1,1,0,1,1,0,"Simple animals, 10-40 cells. Endosymbionts (of octopuses?) Have asexual stage in hosts (appears to reproduce clonally, single cells produced within organism then released— could this be described as budding?) Same authors describe cell lineages in another paper. Determined not to be budding, as we didn’t in the volvocine algae…  FURUYA 2003",?,"(2, 6, 58)"
Craspedacusta sowerbii,microhydra rideri,obligate,complex,yes,NA,3,125.8925412,clonal,[21],Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,1,0,1,1,0,1,"Freshwater jellyfish: can bud polyps, frustules or medusae. Once mature, sperm or eggs released Folino-rorem 2015. No reports of parthenogenesis on WoS with new name. ‘Parthenogenesis may occur in Limnocodium’, but evidence is slight Fowler",3,"(2, 6, 59)"
Crinalium magnum,Crinalium magnum,facultative,simple,no,0,1,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Gomontiellaceae,0,1,1,0,1,1,"Schirrmeister 2011: forms trichomes, but not heterocysts, section 3",0,"(15, 16)"
Croomia pauciflora,Croomia pauciflora,obligate,complex,yes,NA,42,25119000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Pandanales,Stemonaceae,1,0,1,1,0,1,Li et al 2008: sexually by cross pollination & asexual by spreading rhizome,3,"(3, 60)"
cupelopagis vorax,apsilus vorax,obligate,complex,yes,NA,16,141253.75,clonal,[21],Animalia,Rotifera,Monogonta,Collothecaceae,Atrochidae,1,1,0,1,1,0,"Arthur book, vol 1: “with the exception of the order Seisonidea, asexual reproduction is the most common method of reproduction and is found in all species”. Sex and asexual cycles in C vorax (Butler 1983)",1,"(2, 6, 61, 62)"
Cutleria,Cutleria,obligate,complex,yes,NA,7,3162277660,clonal,[30],Chromista,Ochrophyta,Phaeophyceae,Tilopteridales,Cutleriaceae,1,1,0,1,1,0,"Yamanouchi 1912: describes life cycle, including gametangia and spores. Also describes parthenogenetic reproduction. No discussion of fragmentation either the flat micro or upright macro thallus",3,"(24, 25, 63)"
Cyanea capillata,cyanea cyanea,obligate,complex,yes,NA,22,10000000000000,clonal,[21],Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,NA,NA,1,1,0,1,"Cyanea capillata (lions mane) buds of medusae like other when in polyp form (as many jellyfish). Can’t find C. cyanea as a species, is this a typo in Bell? No access to Hyman 1940 online to check",3,"(64, 65)"
Cyathodium,Cyathodium,obligate,complex,yes,NA,13,50118723.4,clonal,"[21, 37]",Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Cyathodiaceae,1,0,1,1,0,1,Vegetative branches observed: Allen & Korpelainen ,3,"(3, 66, 67)"
Cyathodium foetidissimum,Cyathodium foetidissimum,obligate,complex,yes,NA,15,630957345,clonal,"[21, 37]",Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Cyathodiaceae,1,0,1,1,0,1,Vegetative branches observed: Allen & Korpelainen ,3,"(3, 66, 67)"
Dasybranchus caducus,Dasybranchus caducus,obligate,complex,yes,NA,10,31622.7766,clonal,[21],Animalia,Annelida,Polychaeta,Capitellida,Capitellidae,1,0,0,1,0,0,"Bookhout 1957: describes development from eggs, Arthur: functional gonoducts described; can’t see any description of asexual","1,2","(2-4, 6, 7, 68)"
Desmarestia antarctica,Desmarestia antarctica,obligate,complex,yes,NA,7,631000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,1,0,0,1,0,0,"Can’t see anything on parthenogenesis.. but there are zoospores. Nothing on asexual reproduction. Moe & Silva 1989. Not determined whether parthenogenetic or sexual. However, apomixis observed in genus in Ramirez & Peters 1986. Worms database says not asexual, but gametes are dioecious. References Algaeabase",3,"(3, 24, 69, 70)"
Dictyosiphon hirsutus,Dictyosiphon hirsutus,obligate,complex,yes,NA,6,39811000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,0,1,1,0,"Peters 1992: culture studies. Parthenogenetic gametes in culture, not clear if in nature. Can’t find records of fragmentation",3,"(3, 24, 71)"
Dictyostelium discoideum,Dictyostelium discoideum,facultative,simple,yes,20,3,100000,non-clonal,"[11, 19, 49]",Protozoa,Mycetozoa,Dictyosteliomycetes,Dictyosteliales,Dictyosteliaceae,1,1,1,1,1,0,Baldauf and strassman: dicty tend to only produce single. Bloomfield 2013: sex in dicty,3,"(36-38, 72, 73)"
Dictyostelium purpureum,Dictyostelium purpureum,facultative,simple,yes,13.5,2,NA,non-clonal,"[47, 50]",Protozoa,Mycetozoa,Dictyosteliomycetes,Dictyosteliales,Dictyosteliaceae,1,1,1,1,1,0,Baldauf and strassman: dicty tend to only produce single. Bloomfield 2013: sex in dicty,3,(36-39)
Dictyota binghamiae,Dictyota binghamiae,obligate,complex,yes,NA,4,251000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,1,0,1,1,1,1,"https://www.centralcoastbiodiversity.org/mermaids-gloves-bull-dictyota-binghamiae.html Has stolons and produces gametes: “this species reproduces asexually by horizontally creeping branches called stolons”. Bogaert 2020: discussed dictyota genus, asexual reproduction. Apomixis in a Korean species Hwang 2005.",3,"(24, 74-76)"
Dicyema typus,dicyema typhus ,obligate,complex,yes,NA,3,1584.89,clonal,[21],Animalia,Dicyemida,Rhombozoa,Rhombozoa,Dicyemidae,0,0,0,1,1,0,"No species specific data, but asexual/sexual cycles in all dycemids according to furuya 2003",?,"(2, 6, 58)"
Dicyemennea abelis,dicyemmenea abelis,obligate,complex,yes,NA,6,19.95,clonal,[21],Animalia,Dicyemida,Rhombozoa,Rhombozoa,Dicyemidae,0,0,0,1,1,0,"No species specific data, but asexual/sexual cycles in all dycemids according to furuya 2003",?,"(2, 6, 58)"
Dicyemennea lameerei,dicyemmenea lameerei,obligate,complex,yes,NA,3,223.87,clonal,[21],Animalia,Dicyemida,Rhombozoa,Rhombozoa,Dicyemidae,0,0,0,1,1,0,"No species specific data, but asexual/sexual cycles in all dycemids according to furuya 2003",?,"(2, 6, 58)"
Dilsea natashae,Dilsea natashae,obligate,complex,yes,NA,12,19953000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,1,0,0,1,0,0,"Irvine 1983: oogamous gametes. Stanley 1992 suggests fragmentation, but not clear.",3,"(3, 24)"
Dinophilus gyrociliatus,Dinophilus gyrociliatus,obligate,complex,yes,NA,23,10000,clonal,[21],Animalia,Annelida,Polychaeta,Eunicida,Dinophilidae,1,1,0,1,1,1,"Zattara: paratomy in D. rostratus, parthenogenetic strains recorded by Beauchamp 1910 & Hartmann 1933 (see in Valdini 1965). No records of fission in d. Gyr that I can see.","1,2","(2-4, 6, 7, 77-79)"
Diurodrilus westheidei,Diurodrilus westheidei,obligate,complex,yes,NA,14,3548.134,clonal,[21],Animalia,Annelida,Polychaeta,Eunicida,Diurodrilidae,0,0,0,1,0,0,"Architomy present in other dorvellids. BUT not sure whether diurodrilus is even an annelid? Kristensen 1995 describe sperm, but sex not definitively shown. Weird parasite things","1,2","(2-4, 6, 7) (80)"
Ducellieria chodatii,Ducellieria chodatii,obligate,complex,no,0,1,40,clonal,[42],Chromista,Oomycota,Peronosporea,Leptomitales,Ducellieriaceae,1,1,0,1,1,0,"See Hesse 1989: infer sex, as multiple zoospores infect a single pollen grain then can produce a resting spore ‘probably by a sexual process’(as in other oomycetes). Always seems to be a single cell released by aggregates (which grows to sporangium which releases aggregates).",0,(81)
Durvillaea antarctica,Durvillaea antarctica,obligate,complex,yes,NA,6,1000000000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Fucales,Durvillaeaceae,1,0,0,1,1,0,"Southern bull kelp— appears to have direct development, only short haploid phase. Velasquez 2019. Maier 1997 discuss parthenogenesis in related species",3,"(24, 82) (83) (84)"
Ectocarpus siliculosus,Ectocarpus siliculosus,obligate,complex,yes,NA,4,316227.766,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,1,1,0,1,1,0,"Diffuse: most cells capable of cell division. Lee textbook. Can't see fragmentation? Mueller & Falk 1973: describe gametes. Isomorphous gametes, females drop and males swim. Charrier: parthenogenesis, mitospores as clonal reproduction. Searles 1980: sporophyte may reproduce asexually to produce unlimited sporophytes",3,"(3, 24, 85-87)"
Elachista fucicola,Elachista fucicola,obligate,complex,yes,NA,5,15848931.9,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,0,1,1,1,"Skinner 1983: van den Hoek describes E. Stellaris without sexual generation, Kylin showed direct life history, Koeman showed sexuality in fucicola. Skinner also describes stolon",3,"(2, 6, 88)"
Enterostomula graffi,entersostomula graffi,obligate,complex,yes,NA,12,354813.39,clonal,[21],Animalia,Platyhelminthes,Rhabditophora,Prolecithophora,Pseudostomidae,1,0,0,1,0,0,"Jones 1941 describes sexual organs, does not mention asexual reproduction anywhere",3,(89)
Escherichia coli,Escherichia coli,facultative,simple,no,0,1,NA,non-clonal,[15],Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,0,1,0,0,1,0,Fruiting body formation,0,(90)
Eudorina cylindrica,Eudorina cylindrica,obligate,simple,yes,NA,2,16,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,(27-30)
Eudorina elegans,Eudorina elegans,obligate,simple,yes,12.5,1,32,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,(27-30)
Eudorina minodii,Eudorina minodii,obligate,simple,no,0,1,32,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,(27-30)
Eudorina unicocca,Eudorina unicocca,obligate,simple,no,0,1,32,clonal,[31],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,(27-30)
Farlowia mollis,Farlowia mollis,obligate,complex,yes,NA,7,3162277660,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,1,0,0,1,0,0,"Abbott 1962: discuss reproduction and female reproductive structures suggest sex, but cannot see mention of vegetative spread. Has crustose sporophyte, so could fragment there, but no info. ",3,"(3, 24, 91, 92)"
Fischerella,Fischerella,obligate,simple,yes,NA,2,NA,clonal,"[8],[6]",Bacteria,Cyanobacteria,Cyanophyceae,Stigonematales,Stigonemataceae,0,1,1,0,1,1,Schirrmeister 2011: section V,3,"(15, 16)"
Fucus vesiculosus,Fucus vesiculosus,obligate,complex,yes,NA,7,3160000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,1,0,1,1,1,1,"Tatarenkov discusses asexual morph. Overton shows that parthenogenesis can be induced, but it requires specific lab techniques to mimic fertilisation (so unlikely in nature?). But Nagasato 2000 show parthenogenic development in another fucus species",3,"(3, 24, 93, 94)"
Fuirena ciliaris,Fuirena ciliaris,obligate,complex,yes,NA,44,25119000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,1,0,1,1,0,1,Rodrigues 2009: images of rhizome spreading,3,"(3, 95)"
Funaria hygrometrica,Funaria hygrometrica,obligate,complex,yes,NA,20,251188643,clonal,"[21, 37]",Plantae,Bryophyta,Bryopsida,Funariales,Funariaceae,1,1,1,1,1,1,Chopra 1967: apogamy in funaria— development of sporophytes on gametophytes in culture,3,"(3, 96-98)"
Gloeophycus koreanus,Gloeophycus koreanus,obligate,complex,yes,NA,12,63096000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gloiosiphoniaceae,1,0,0,1,0,0,"Notoya 1984: discusses lifecycle of G. Koreanum, no obvious fragmentation. Crustose form could potentially be fragmented, but not reported.",3,"(99) (3, 24)"
Gonium multicoccum,Gonium multicoccum,obligate,simple,no,0,1,32,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,1,"Harper 1912: discusses fragmentation in Gonium, but doesn’t specify the species. Hanschen 2017: all go through a single-celled bottleneck. Herron 2008: volvocine algae are facultatively asexual",0,"(27-30, 100, 101)"
Gonium octonarium,Gonium octonarium,obligate,simple,no,0,1,NA,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,1,1,1,1,Herron 2008 paper has good descriptions for the volvocine algae,0,"(27-30, 100, 101)"
Gonium pectorale,Gonium pectorale,obligate,simple,no,0,1,16,clonal,"[26, 27, 29]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,1,,0,"(27-30, 100, 101)"
Gonium quadratum,Gonium quadratum,obligate,simple,no,0,1,16,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,1,,0,"(27-30, 100, 101)"
Gonium viridistellatum,Gonium viridistellatum,obligate,simple,no,0,1,16,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,1,,0,"(27-30, 100, 101)"
Gymnoascus reessii,Gymnoascus reessii,obligate,complex,yes,NA,5,15848.9319,clonal,[21],Fungi,Ascomycota,Eurotiomycetes,Onygenales,Gymnoascaceae,1,1,1,1,1,1,"not sure with fungi, can simply split hyphae into multiple pieces (fragmentation) and s'all good, but does this happen often naturally? In G. Reessii: asexual reproduction by conidia and gymnosperms",3,
haliclystus,haliclystus haliclystus,obligate,complex,yes,NA,22,31622776.6,clonal,[21],Animalia,Cnidaria,Staurozoa,Stauromedusae,Haliclystidae,NA,NA,NA,1,0,1,"May also be a typo? Can’t see anywhere, and can’t find Bell’s original citation. Haliclystus antarcticus can sexual and asexual by budding (Miranda 2010)",3,(3) (102)
Halymenia asymmetrica,Halymenia asymmetrica,obligate,complex,yes,NA,13,63096000000,clonal,"[21, 22]",Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,1,1,0,1,1,0,"Gargiulo 1984 discuss life-cycle and no mention of fragmentation, etc. WoRMS has no record of asexual reproduction ",3,"(3, 24, 103, 104) (105)"
Haplospora globosa,Haplospora globosa,obligate,complex,yes,NA,4,25119000000,clonal,"[21, 43]",Chromista,Ochrophyta,Phaeophyceae,Tilopteridales,Tilopteridaceae,0,1,1,0,1,1,"Kuhlenkamp 1996 : fragments of Haplospora produced rhizoids at their basal ends in a similar manner, plus uprights from prostrate discs. Creeping rhizomes that can produce many uprights. Kuhlenkamp 1985: ‘sporophytes alternate with gametophytes without sexuality’. Isolated eggs developed normally, sperm are not attracted to eggs and fall and die.",3,"(3, 106, 107)"
Helminthostachys zeylanica,Helminthostachys zeylanica,obligate,complex,yes,NA,5,70794578.4,clonal,"[21, 22]",Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,1,0,1,1,0,1,Manna 2013: low spore germination rate and preference of vegetative propagation. Whittier 1987 discusses sporophyte/gametophyte. Mazumder 2010 discusses sex in H zeylanica.,3,"(3, 108-110) (111) (112)"
Heteroglossum carnosum,Heteroglossum carnosum,obligate,complex,yes,NA,11,1000000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,0,0,0,0,0,0,Very little on heteroglossum. Nothing on WoS and next to nothing on GS.,3,"(3, 24)"
Heteroralfsia saxicola,Heteroralfsia saxicola,obligate,complex,yes,NA,9,794328235,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,1,1,0,1,1,0,"Kawai 2010, fig 23.",3,"(3, 24, 113)"
Heterostelium pallidum,Polysphondylium pallidum,facultative,simple,yes,45,2,NA,non-clonal,[48],Protozoa,Mycetozoa,Dictyosteliomycetes,Acytosteliales,Acytosteliaceae,1,1,1,1,1,1,Baldauf and strassman:group splits into multiple smaller orogens,3,"(36, 37)"
Himantothallus grandifolius,Himantothallus grandifolius,obligate,complex,yes,NA,14,1580000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,1,1,1,1,1,1,Wienke & Clayton 1990 describe parthenogenesis & gametes.sporophytes can grow from vegetative filaments (although poor) fig. 15,3,"(3, 24, 114)"
