species,species_original_name,Obligate_or_facultative,Simple_or_complex,Sterile_soma,Proportion_of_sterile_cells,cell_types,cell_number,clonal,Fisher Ref,kingdom,phylum,class,order,family,SexualReproductionObserved_Species,AsexualGameticObserved_Species,FissionOrBuddingObserved_Species,SexualReproductionObserved_Genus,AsexualGameticObserved_Genus,FissionOrBuddingObserved_Genus,notes,fragmentation_or_budding,germline_timing,refs,
Lemna minor,Lemna minor,obligate,complex,yes,NA,18,794328.235,clonal,[21],Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,1,0,1,1,0,1,Lemon 2001: vegetative reproduction,b,3,"(2, 63)",
Wolffia arrhiza,Wolffia arrhiza,obligate,complex,yes,NA,5,10000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,0,0,1,1,0,1,"Fryxell 1967: G, and says that they rarely flower. But Schmitz and Kelm 2017 describe flowering",b,3,"(2, 63)",
Wolffia microscopica,Wolffia microscopica,obligate,complex,yes,NA,7,70794.5784,clonal,[21],Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,1,0,1,1,0,1,"Sree et al 2015: description of plant, flowering, vegetative & sex",b,3,"(2, 63-65)",
Lomandra hermaphrodita,Lomandra hermaphrodita,obligate,complex,yes,NA,36,35481000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,1,0,1,1,0,1,"Ahmad 2014: lomandra longifolia, Kraus & Koch 2004: rhizomatous, wind pollenated. ",b,3,"(2, 66)",
cupelopagis vorax,apsilus vorax,obligate,complex,yes,NA,16,141253.75,clonal,[21],Animalia,Rotifera,Monogonta,Collothecaceae,Atrochidae,1,1,0,1,1,0,"Arthur book, vol 1: “with the exception of the order Seisonidea, asexual reproduction is the most common method of reproduction and is found in all species”. Sex and asexual cycles in C vorax (Butler 1983)",none,1,"(1, 4)",
Bacillus subtilis,Bacillus subtilis,facultative,simple,no,0,2,NA,non-clonal,[3],Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,0,1,0,0,1,0,"Branda 2001: Forms films and fruiting bodies, could film split up? Doesn’t really form individuals… ",fission,3,-24,
Periplaneta americana,Periplaneta americana,obligate,complex,yes,NA,50,3162277660,clonal,[21],Animalia,Arthropoda,Insecta,Blattodea,Blattidae,1,1,0,1,1,0,Katoh: facultative parthenogenesis,none,"1,2","(1, 4)",
Notholca acuminata,notholca acuminata,obligate,complex,yes,NA,13,3162.28,clonal,[21],Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,0,0,0,1,1,0,"No reports of males, but males may only be present transiently in rotifers anyway— so need regular collections to find them. Virro reports resting eggs in N squamula, does this imply sex? Arthur book, vol 1: “with the exception of the order Seisonidea, asexual reproduction is the most common method of reproduction and is found in all species”. There are also sexual and asexual strains in other brachionids (stelzer 2008)",None,1,"(1, 4)",
Mammillaria elongata,Mammillaria elongata,obligate,complex,yes,NA,27,63096000000,clonal,[21],Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,1,0,1,1,0,1,res.org.uk,b,3,"(2, 70) RHS.org.uk",
Schmitzia hiscockiana,Schmitzia hiscockiana,obligate,complex,yes,NA,14,200000000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Calosiphoniaceae,1,0,1,1,0,1,,f,3,"(2, 30, 57)",
Canis lupus,Canis familiaris,obligate,complex,yes,NA,99,50100000000000.00,clonal,[21],Animalia,Chordata,Mammalia,Carnivora,Canidae,1,0,0,1,0,0,,none,"1,2","(1, 4)",
Dasybranchus caducus,Dasybranchus caducus,obligate,complex,yes,NA,10,31622.7766,clonal,[21],Animalia,Annelida,Polychaeta,Capitellida,Capitellidae,1,0,0,1,0,0,"Bookhout 1957: describes development from eggs, Arthur: functional gonoducts described; can’t see any description of asexual",none,"1,2",(1-5),
Cavenderia fasciculata,Dictyostelium fasciculatum,facultative,simple,yes,20,2,NA,non-clonal,[47],Protozoa,Mycetozoa,Dictyosteliomycetes,Acytosteliales,Cavenderiaceae,1,1,1,1,1,1,"Baldauf and strassman:group splits into multiple smaller sporogens in Ca. Bifurcatum, Sheikh 2018 for C. fasciculata",f,3,-79,
Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,facultative,simple,no,0,1,71,clonal,"[23, 24]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,1,1,0,1,1,0,,NA,0,(49-52),
Asperococcus fistulosus,Asperococcus fistulosus,obligate,complex,yes,NA,5,10000000000,clonal,[30],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,0,0,0,0,0,0,"Can’t find any info, either with older names. Descrptions of seeds? But sex vs asex? ",,3,"(30, 31)",
Chordaria flagelliformis,Chordaria flagelliformis,obligate,complex,yes,NA,6,3981071706,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,0,0,0,1,0,0,Black whip algae. Can’t see any useful info. Peters 1992 discusses sex in chord aria,,3,"(2, 30, 33)",
Mesogloia linearis,Chordaria linearis,obligate,complex,yes,NA,6,10000000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,0,1,1,0,Wynne Edwards book: heteromorphic cycle without sexuality. Peters 1992 show sex and parthenogenesis in C. linearis too,,3,"(2, 30)",
Dictyosiphon hirsutus,Dictyosiphon hirsutus,obligate,complex,yes,NA,6,39811000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,0,1,1,0,"Peters 1992: culture studies. Parthenogenetic gametes in culture, not clear if in nature. Can’t find records of fragmentation",,3,"(2, 30)",
Elachista fucicola,Elachista fucicola,obligate,complex,yes,NA,5,15848931.9,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,0,1,1,1,"Skinner 1983: van den Hoek describes E. Stellaris without sexual generation, Kylin showed direct life history, Koeman showed sexuality in fucicola. Skinner also describes stolon",b,3,"(2, 30)",
Isthmoplea sphaerophora,Isthmoplea sphaerophora,obligate,complex,yes,NA,3,15848.932,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,1,1,1,1,"Rueness 1974: apomeiotically formed individuals. Propoagation by vegetative means regularly observed by ‘formation of downgrading rhizoids, distal portion then shed and continues growing’. This is somewhere between budding and fragmentation… closer to budding as in hydra",b,3,"(2, 30, 34)",
Kurogiella saxatilis,Kurogiella saxatilis,obligate,complex,yes,NA,7,25119000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,0,1,0,0,1,0,"don’t have access to Kawai 1993, but abstract says they lack a gametophyte, and figures show direct development. Very little info otherwise",,3,"(2, 30)",
Leathesia difformis,Leathesia difformis,obligate,complex,yes,NA,6,39811000000,clonal,[30],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,0,1,1,0,"Wynne Edwards Book: gametophytes can be formed by parthenogenesis, and form sporophytes when gametes fuse.",,3,"(30, 31)",
Microcystis aeruginosa,Microcystis aeruginosa,facultative,simple,no,0,1,NA,non-clonal,[7],Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,0,1,0,0,1,0,Schirrmeister 2011: Unicellular,NA,0,-21,
Cladostephus spongiosus,Cladostephus spongiosus verticillatus,obligate,complex,yes,NA,8,125892541,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Sphacelariales,Cladostephaceae,1,1,0,1,1,1,"Gibson 1994: parthenogenesis and sex, but “importance of vegetative reproduction not known and requires investigation”.  Algaebase: unattached forms that are produced by fragmentation",f,3,"(2, 30, 40)",
Clostridium,Clostridium,facultative,simple,no,0,2,NA,non-clonal,"[1], [2]",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,0,1,0,0,1,0,"Harshey 1994: Swarming, cells remain viable (still viable during the stalk?",NA,0,-25,
Conocephalum conicum,Conocephalum conicum,obligate,complex,yes,NA,15,3162277.66,clonal,"[21, 37]",Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Conocephalaceae,1,0,1,1,0,1,"Paton: pg 26, budding. Is a website that describes fragmentation, but they reference this book and can’t se it",b,3,"(2, 54)",
Conocyema polymorpha,conocyema polymorpha,obligate,complex,yes,NA,3,28.18,clonal,[21],Animalia,Dicyemida,Rhombozoa,NA,Conocyemidae,1,1,0,1,1,0,"Simple animals, 10-40 cells. Endosymbionts (of octopuses?) Have asexual stage in hosts (appears to reproduce clonally, single cells produced within organism then released— could this be described as budding?) Same authors describe cell lineages in another paper. Determined not to be budding, as we didn’t in the volvocine algae…  FURUYA 2003",none,?,"(1, 4)",
Thalassoanaperus sulcatus,anaperus sulcatus,obligate,complex,yes,NA,9,125892541.18,clonal,[21],Animalia,Xenacoelomorpha,Acoelomorpha,Acoela,Convolutidae,0,0,0,0,0,0,Penis described in image of Beklemischev 1914. V. Little info on these— can all acoel worms split? ,?,3,"(1, 4)",
Cutleria,Cutleria,obligate,complex,yes,NA,7,3162277660,clonal,[30],Chromista,Ochrophyta,Phaeophyceae,Tilopteridales,Cutleriaceae,1,1,0,1,1,0,"Yamanouchi 1912: describes life cycle, including gametangia and spores. Also describes parthenogenetic reproduction. No discussion of fragmentation either the flat micro or upright macro thallus",,3,"(30, 31)",
Cyanea capillata,cyanea cyanea,obligate,complex,yes,NA,22,10000000000000,clonal,[21],Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,?,?,?,1,0,1,"Cyanea capillata (lions mane) buds of medusae like other when in polyp form (as many jellyfish). Can’t find C. cyanea as a species, is this a typo in Bell? No access to Hyman 1940 online to check",Budding,3,-2,
Cyathodium,Cyathodium,obligate,complex,yes,NA,13,50118723.4,clonal,"[21, 37]",Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Cyathodiaceae,1,0,1,1,0,1,Vegetative branches observed: Allen & Korpelainen ,b,3,"(2, 55)",
Cyathodium foetidissimum,Cyathodium foetidissimum,obligate,complex,yes,NA,15,630957345,clonal,"[21, 37]",Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Cyathodiaceae,1,0,1,1,0,1,Vegetative branches observed: Allen & Korpelainen ,b,3,"(2, 55, 56)",
Fuirena ciliaris,Fuirena ciliaris,obligate,complex,yes,NA,44,25119000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,1,0,1,1,0,1,Rodrigues 2009: images of rhizome spreading ,b,3,"(2, 69)",
Candida albicans,Candida albicans,facultative,simple,no,0,3,NA,clonal,"[21, 55]",Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,1,1,1,1,1,1,"Forms hyphae, but cells all remain viable. Sex in Hickman 2013",f,0,-2,
Heteroglossum carnosum,Heteroglossum carnosum,obligate,complex,yes,NA,11,1000000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,1,0,1,1,0,1,Very little on heteroglossum. Nothing on WoS and next to nothing on GS.,f,3,"(2, 30)",
Membranoptera subtropica,Membranoptera subtropica,obligate,complex,yes,NA,12,6309573.45,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,1,0,1,1,0,1,,f,3,"(2, 30)",
Desmarestia antarctica,Desmarestia antarctica,obligate,complex,yes,NA,7,631000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,1,?,0,1,1,0,"Can’t see anything on parthenogenesis.. but there are zoospores. Nothing on asexual reproduction. Moe & Silva 1989. Not determined whether parthenogenetic or sexual. However, apomixis observed in genus in Ramirez & Peters 1986",,3,"(2, 30)",
Himantothallus grandifolius,Himantothallus grandifolius,obligate,complex,yes,NA,14,1580000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,1,1,0,1,1,0,Wienke & Clayton describe parthenogenesis & gametes. Can’t see any record of vegetative growth,,3,"(2, 30)",
Dictyostelium discoideum,Dictyostelium discoideum,facultative,simple,yes,20,3,100000,non-clonal,"[11, 19, 49]",Protozoa,Mycetozoa,Dictyosteliomycetes,Dictyosteliales,Dictyosteliaceae,1,1,1,1,1,0,Baldauf and strassman: dicty tend to only produce single. Bloomfield 2013: sex in dicty,f,3,"(80, 81)",
Dictyostelium purpureum,Dictyostelium purpureum,facultative,simple,yes,13.5,2,NA,non-clonal,"[47, 50]",Protozoa,Mycetozoa,Dictyosteliomycetes,Dictyosteliales,Dictyosteliaceae,1,1,1,1,1,0,Baldauf and strassman: dicty tend to only produce single. Bloomfield 2013: sex in dicty,f,3,-79,
Polysphondylium violaceum,Polysphondylium violaceum,facultative,simple,yes,NA,2,NA,non-clonal,[47],Protozoa,Mycetozoa,Dictyosteliomycetes,Dictyosteliales,Dictyosteliaceae,1,1,1,1,1,1,Baldauf and strassman:group splits into multiple smaller sporogens,f,3,-79,
Dictyota binghamiae,Dictyota binghamiae,obligate,complex,yes,NA,4,251000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,1,0,1,1,1,1,"https://www.centralcoastbiodiversity.org/mermaids-gloves-bull-dictyota-binghamiae.html Has stolons and produces gametes. Bogaert 2020: discussed dictyota genus, asexual reproduction. Apomixis in a Korean species Hwang 2005. ",b,3,"(30, 32)",
Dicyema typus,dicyema typhus ,obligate,complex,yes,NA,3,1584.89,clonal,[21],Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,0,0,0,1,1,0,"No species specific data, but asexual/sexual cycles in all dycemids according to furuya 2003",none,?,"(1, 4)",
Dicyemennea abelis,dicyemmenea abelis,obligate,complex,yes,NA,6,19.95,clonal,[21],Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,0,0,0,1,1,0,"No species specific data, but asexual/sexual cycles in all dycemids according to furuya 2003",none,?,"(1, 4)",
Dicyemennea lameerei,dicyemmenea lameerei,obligate,complex,yes,NA,3,223.87,clonal,[21],Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,0,0,0,1,1,0,"No species specific data, but asexual/sexual cycles in all dycemids according to furuya 2003",none,?,"(1, 4)",
Dinophilus gyrociliatus,Dinophilus gyrociliatus,obligate,complex,yes,NA,23,10000,clonal,[21],Animalia,Annelida,Polychaeta,Eunicida,Dinophilidae,1,1,0,1,1,1,"Zattara: paratomy in D. rostratus, parthenogenetic strains recorded by Beauchamp 1910 & Hartmann 1933 (see in Valdini 1965). No records of fission in d. Gyr that I can see.",fission,"1,2","(1-5, 7)",
Diurodrilus westheidei,Diurodrilus westheidei,obligate,complex,yes,NA,14,3548.134,clonal,[21],Animalia,Annelida,Polychaeta,Eunicida,Diurodrilidae,0,0,0,1,0,0,"Architomy present in other dorvellids. BUT not sure whether diurodrilus is even an annelid? Kristensen 1995 describe sperm, but sex not definitively shown. Weird parasite things",none,"1,2",(1-5),
Apodotrocha progenerans,apodotrocha progenerans,obligate,complex,yes,NA,16,6309.573445,clonal,[21],Animalia,annelida,Polychaeta,Eunicida,Dorvilleidae,1,0,0,1,0,0,"Westheide describe sperm and oocytes, but no spawning observed (can we assume they have sex from that?)",none,"1,2",(1-5),
Ducellieria chodatii,Ducellieria chodatii,obligate,complex,no,0,1,40,clonal,[42],Chromista,Oomycota,Peronosporea,Leptomitales,Ducellieriaceae,1,1,0,1,1,0,"See Hesse 1989: infer sex, as multiple zoospores infect a single pollen grain then can produce a resting spore ‘probably by a sexual process’(as in other oomycetes). Always seems to be a single cell released by aggregates (which grows to sporangium which releases aggregates). ",f/b,0,-42,
Schmidtea mediterranea,dugesia mediterranea,obligate,complex,yes,NA,14,1778279.41,clonal,[21],Animalia,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,1,0,1,1,1,1,Sexual/asexual strains in med. Parthenogenesis seen in S. polychroa,fission,3,"(1, 4)",
Dilsea natashae,Dilsea natashae,obligate,complex,yes,NA,12,19953000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,1,0,1,1,0,1,,f,3,"(2, 30)",
Farlowia mollis,Farlowia mollis,obligate,complex,yes,NA,7,3162277660,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,1,0,1,1,0,1,,f,3,"(2, 30, 58)",
Durvillaea antarctica,Durvillaea antarctica,obligate,complex,yes,NA,6,1000000000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Fucales,Durvillaeaceae,1,0,0,1,1,0,"Southern bull kelp— appears to have direct development, only short haploid phase. Velasquez 2019. Maier 1997 discuss parthenogenesis in related species",,3,"(2, 30)",
Ectocarpus siliculosus,Ectocarpus siliculosus,obligate,complex,yes,NA,4,316227.766,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,1,1,0,1,1,0,"Diffuse: most cells capable of cell division. Lee textbook. Can't see fragmentation? Mueller & Falk 1973: describe gametes. Isomorphous gametes, females drop and males swim. Charrier: parthenogenesis, mitospores as clonal reproduction. Searles 1980: sporophyte may reproduce asexually to produce unlimited sporophytes",,3,"(30, 35)",
Escherichia coli,Escherichia coli,facultative,simple,no,0,1,NA,non-clonal,[15],Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,0,1,0,0,1,0,Fruiting body formation,NA,0,-27,
Chlorogloeopsis,Chlorogloeopsis,obligate,simple,yes,NA,2,22,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,0,1,1,0,1,1,"Schirrmeister 2011: forms shortish trichomes, can release single cells, groups or fragment into short, section V ",fission,3,"(18, 22)",
Ascophyllum nodosum,Ascophyllum nodosum,obligate,complex,yes,NA,6,631000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,1,0,1,1,0,1,Kraberg 2007: reproduces both sexually and vegetatively from shoots. Wynne Edwards describes free-living form produced by fragmentation.,f&b,3,"(2, 30, 36, 37)",
Fucus vesiculosus,Fucus vesiculosus,obligate,complex,yes,NA,7,3160000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,1,0,1,1,1,1,"Tatarenkov discusses asexual morph. Overton shows that parthenogenesis can be induced, but it requires specific lab techniques to mimic fertilisation (so unlikely in nature?). But Nagasato 2000 show parthenogenic development in another fucus species",,3,"(2, 30, 38)",
Funaria hygrometrica,Funaria hygrometrica,obligate,complex,yes,NA,20,251188643,clonal,"[21, 37]",Plantae,Bryophyta,Bryopsida,Funariales,Funariaceae,1,1,1,1,1,1,Chopra 1967: apogamy in funaria— development of sporophytes on gametophytes in culture ,b,3,"(2, 43, 44)",
Sphaerobolus stellatus,Sphaerobolus stellatus,obligate,complex,yes,NA,9,1258925.41,clonal,"[21, 55]",Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,1,1,,1,1,,"Geml 2004, thesis describes sex and Asexual spores. But again, can fungi just fragment?",f,3,-2,
Ptilophora scalaramosa,Ptilophora scalaramosa,obligate,complex,yes,NA,12,31623000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,1,0,0,1,0,0,"Can’t find much info about reproduction. Tronchin et al 2004: discuss male/female reproductive structures, nothing about asexual reproduction",None,3,-2,
Gloeophycus koreanus,Gloeophycus koreanus,obligate,complex,yes,NA,12,63096000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gloiosiphoniaceae,1,0,1,1,0,1,,f,3,"(2, 30)",
Starria zimbabweensis,Starria zimbabweensis,facultative,simple,no,0,1,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Crinalium magnum,Gomontiellaceae,0,1,1,0,1,1,Schirrmeister 2011: section 3,fission,0,"(18, 22)",
Crinalium magnum,Crinalium magnum,facultative,simple,no,0,1,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Gomontiellaceae,0,1,1,0,1,1,"Schirrmeister 2011: forms trichomes, but not heterocysts, section 3",fission,0,"(18, 22)",
Astrephomene gubernaculifera,Astrephomene gubernaculifera,obligate,simple,yes,NA,2,64,clonal,"[27, 28]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,,,,0,"in simpler volvocine algae, all cells switch to reproductive and start new colonies",NA,3,(49-52),
Astrephomene perforata,Astrephomene perforata,obligate,simple,yes,NA,2,64,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,,,,,,0,"Could describ reproduction in volvocine algae as budding: growth of a propagule from a single cell within the body, and then splitting off. ",NA,3,(49-52),
Gonium multicoccum,Gonium multicoccum,obligate,simple,no,0,1,32,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,1,"Harper 1912: discusses fragmentation in Gonium, but doesn’t specify the species. Hanschen 2017: all go through a single-celled bottleneck. Herron 2008: volvocine algae are facultatively asexual",f,0,(49-52),
Gonium pectorale,Gonium pectorale,obligate,simple,no,0,1,16,clonal,"[26, 27, 29]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,1,,f,0,(49-52),
Gonium quadratum,Gonium quadratum,obligate,simple,no,0,1,16,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,1,,f,0,(49-52),
Gonium viridistellatum,Gonium viridistellatum,obligate,simple,no,0,1,16,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,1,1,0,1,1,1,,f,0,(49-52),
Pocheina flagellata,Pocheina flagellata,facultative,simple,no,0,2,NA,non-clonal,[21],Protozoa,Percolozoa,Heterolobosea,Acrasiales,Guttulinaceae,0,1,0,1,1,0,"v. Little data, abstract in Olive, but no access to paper.",f,3,-2,
Pocheina rosea,Pocheina rosea,facultative,simple,no,0,2,NA,non-clonal,[21],Protozoa,Percolozoa,Heterolobosea,Acrasiales,Guttulinaceae,1,1,0,1,1,0,This may actually be A. rosea (brown). Life cycle in Brown & Silberman ,f,3,-2,
Gymnoascus reessii,Gymnoascus reessii,obligate,complex,yes,NA,5,15848.9319,clonal,[21],Fungi,Ascomycota,Eurotiomycetes,Onygenales,Gymnoascaceae,1,1,1,1,1,1,"not sure with fungi, can simply split hyphae into multiple pieces (fragmentation) and s'all good, but does this happen often naturally? In G. Reessii: asexual reproduction by conidia and gymnosperms",f,3,-2,
haliclystus,haliclystus haliclystus,obligate,complex,yes,NA,22,31622776.6,clonal,[21],Animalia,Cnidaria,Staurozoa,Stauromedusae,Haliclystidae,?,?,?,1,0,1,"May also be a typo? Can’t see anywhere, and can’t find Bell’s original citation. Haliclystus antarcticus can sexual and asexual by budding (Miranda 2010)",Budding,3,-2,
Halymenia asymmetrica,Halymenia asymmetrica,obligate,complex,yes,NA,13,63096000000,clonal,"[21, 22]",Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,1,0,1,1,0,1,,f,3,"(2, 30, 59, 60)",
Hirudo medicinalis,Hirudo medicinalis,obligate,complex,yes,NA,26,19953000000,clonal,[21],Animalia,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,1,0,0,1,0,0,"Hirudinidae can't reproduce asexually, ",none,1,(1-5),
Hydra vulgaris,Hydra vulgaris,obligate,complex,yes,NA,15,63095.7345,clonal,[21],Animalia,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,1,0,1,1,0,1,"budding in hydra may be more akin to fragmentation in this definition: bud growth is driven by cell migration, rather than cell division. Can’t find reports of parthenogenesis, ",Budding,3,"(1, 4, 11, 12)",
