species_simple_underscores	Oblig/Fac	Simple/Complex	SterileCells	SterileProp	Types	Number	Sex	Fission	Fragmentation	GermTime	GermTimeSimp	name	Type/Number	SomaTypes	Soma/Number	GermNumeric
heteroralfsia_saxicola	obligate	complex	yes	NA	9	794328235	1	0	NA	3	adult	heteroralfsia_saxicola	1.13303287022146e-08	8	1.00714032908575e-08	2
himantothallus_grandifolius	obligate	complex	yes	NA	14	1.58e+12	1	0	NA	3	adult	himantothallus_grandifolius	8.86075949367089e-12	13	8.22784810126582e-12	2
hirudo_medicinalis	obligate	complex	yes	NA	26	1.9953e+10	1	0	none	1	early	hirudo_medicinalis	1.30306219616098e-09	25	1.25294441938556e-09	1
hummia_onusta	obligate	complex	yes	NA	5	1e+08	1	0	NA	3	adult	hummia_onusta	5e-08	4	4e-08	2
hydra_vulgaris	obligate	complex	yes	NA	15	63096	1	1	Budding	3	adult	hydra_vulgaris	0.000237732978318752	14	0.000221884113097502	2
hymenophyllum_tunbridgense	obligate	complex	yes	NA	15	7079457844	0	1	b	3	adult	hymenophyllum_tunbridgense	2.11880631688666e-09	14	1.97755256242755e-09	2
isthmoplea_sphaerophora	obligate	complex	yes	NA	3	15849	1	1	b	3	adult	isthmoplea_sphaerophora	0.000189286390308537	2	0.000126190926872358	2
kurogiella_saxatilis	obligate	complex	yes	NA	7	2.5119e+10	0	0	NA	3	adult	kurogiella_saxatilis	2.78673514073012e-10	6	2.38863012062582e-10	2
laminaria_dentigera	obligate	complex	yes	NA	14	1.26e+11	1	0	f	3	adult	laminaria_dentigera	1.11111111111111e-10	13	1.03174603174603e-10	2
leathesia_difformis	obligate	complex	yes	NA	6	3.9811e+10	1	0	NA	3	adult	leathesia_difformis	1.50712114742157e-10	5	1.25593428951797e-10	2
lemna_minor	obligate	complex	yes	NA	18	794329	1	1	b	3	adult	lemna_minor	2.26606355804711e-05	17	2.1401711381556e-05	2
lomandra_hermaphrodita	obligate	complex	yes	NA	36	3.5481e+10	1	1	b	3	adult	lomandra_hermaphrodita	1.0146275471379e-09	35	9.86443448606296e-10	2
loxosoma_saltans	obligate	complex	yes	NA	16	3549	1	1	Budding	3	adult	loxosoma_saltans	0.00450831220061989	15	0.00422654268808115	2
lumbricus_terrestris	obligate	complex	yes	NA	57	1e+10	1	0	none	1,2	early	lumbricus_terrestris	5.7e-09	56	5.6e-09	1
macrostomum_tuba	obligate	complex	yes	NA	14	501188	1	0	none	3	adult	macrostomum_tuba	2.79336296958427e-05	13	2.59383704318539e-05	2
mammillaria_elongata	obligate	complex	yes	NA	27	6.3096e+10	1	1	b	3	adult	mammillaria_elongata	4.27919360973754e-10	26	4.12070495752504e-10	2
membranoptera_subtropica	obligate	complex	yes	NA	12	6309574	1	1	f	3	adult	membranoptera_subtropica	1.90187166360201e-06	11	1.74338235830184e-06	2
mesogloia_linearis	obligate	complex	yes	NA	6	1e+10	1	0	NA	3	adult	mesogloia_linearis	6e-10	5	5e-10	2
monoclea_forsteri	obligate	complex	yes	NA	13	3162278	1	1	f&b	3	adult	monoclea_forsteri	4.11096051643783e-06	12	3.79473278440415e-06	2
morone_saxatilis	obligate	complex	yes	NA	122	2.51e+11	1	0	none	1,2	early	morone_saxatilis	4.8605577689243e-10	121	4.8207171314741e-10	1
mus_musculus	obligate	complex	yes	NA	102	2e+11	1	0	none	1,2	early	mus_musculus	5.1e-10	101	5.05e-10	1
nais_variabilis	obligate	complex	yes	NA	13	251189	1	1	fission	1,2	early	nais_variabilis	5.17538586482688e-05	12	4.7772792598402e-05	1
neomenia_carinata	obligate	complex	yes	NA	7	1000	1	0	NA	?	NA	neomenia_carinata	0.007	6	0.006	NA
notholca_acuminata	obligate	complex	yes	NA	13	3163	0	0	None	1	early	notholca_acuminata	0.0041100221308884	12	0.00379386658235852	1
oncorhynchus_mykiss	obligate	complex	yes	NA	116	2.51e+11	1	0	none	1,2	early	oncorhynchus_mykiss	4.62151394422311e-10	115	4.58167330677291e-10	1
oscillatoria_sancta	obligate	simple	yes	NA	2	100	0	1	fission	0	no_germline	oscillatoria_sancta	0.02	1	0.01	0
pandorina_colemaniae	obligate	simple	no	0	1	16	1	0	NA	0	no_germline	pandorina_colemaniae	0.0625	0	0	0
pandorina_morum	obligate	simple	no	0	1	16	1	0	NA	0	no_germline	pandorina_morum	0.0625	0	0	0
pedicellina_cernua	obligate	complex	yes	NA	10	39811	1	1	Budding	3	adult	pedicellina_cernua	0.000251186857903594	9	0.000226068172113235	2
periplaneta_americana	obligate	complex	yes	NA	50	3162277660	1	0	none	1,2	early	periplaneta_americana	1.58113883016838e-08	49	1.54951605356501e-08	1
petermannia_cirrosa	obligate	complex	yes	NA	39	2.5119e+10	1	0	b	3	adult	petermannia_cirrosa	1.55260957840678e-09	38	1.51279907639635e-09	2
pinus_monophylla	obligate	complex	yes	NA	30	1e+10	1	0	f?	3	adult	pinus_monophylla	3e-09	29	2.9e-09	2
pisione_remota	obligate	complex	yes	NA	11	44669	1	0	none	1,2	early	pisione_remota	0.000246255792607849	10	0.000223868902370772	1
platydorina_caudata	obligate	simple	no	0	1	32	1	0	NA	0	no_germline	platydorina_caudata	0.03125	0	0	0
pleodorina_californica	obligate	simple	yes	NA	2	128	1	0	NA	3	adult	pleodorina_californica	0.015625	1	0.0078125	2
pleodorina_illinoisensis	obligate	simple	yes	25	2	32	1	0	NA	3	adult	pleodorina_illinoisensis	0.0625	1	0.03125	2
pleodorina_indica	obligate	simple	yes	50	2	128	1	0	NA	3	adult	pleodorina_indica	0.015625	1	0.0078125	2
pleodorina_japonica	obligate	simple	yes	NA	2	128	1	0	NA	3	adult	pleodorina_japonica	0.015625	1	0.0078125	2
pleurobrachia	obligate	complex	yes	NA	13	10000	NA	NA	none	3	adult	pleurobrachia	0.0013	12	0.0012	2
pogonatum_neesii	obligate	complex	yes	NA	21	707945784	1	1	b	3	adult	pogonatum_neesii	2.96632884531734e-08	20	2.82507509077842e-08	2
polytrichum_commune	obligate	complex	yes	NA	26	1e+09	0	1	b	3	adult	polytrichum_commune	2.6e-08	25	2.5e-08	2
ptilophora_scalaramosa	obligate	complex	yes	NA	12	3.1623e+10	1	0	None	3	adult	ptilophora_scalaramosa	3.79470638459349e-10	11	3.47848085254403e-10	2
pycnophyes_frequens	obligate	complex	yes	NA	16	7944	1	0	none	2	early	pycnophyes_frequens	0.00201409869083585	15	0.00188821752265861	1
ralfsia_verrucosa	obligate	complex	yes	NA	8	630957345	0	1	f	3	adult	ralfsia_verrucosa	1.26791455292433e-08	7	1.10942523380879e-08	2
rastrognathia_macrostoma	obligate	complex	yes	NA	13	3163	1	0	none	?	NA	rastrognathia_macrostoma	0.0041100221308884	12	0.00379386658235852	NA
rhabditis_monhystera	obligate	complex	yes	NA	23	447	1	0	NA	1	early	rhabditis_monhystera	0.0514541387024608	22	0.0492170022371365	1
rhopalura_granosa	obligate	complex	yes	NA	3	1413	1	0	none	?	NA	rhopalura_granosa	0.00212314225053079	2	0.00141542816702052	NA
sagittaria_lancifolia	obligate	complex	yes	NA	42	1e+11	1	1	b	3	adult	sagittaria_lancifolia	4.2e-10	41	4.1e-10	2
sarconema_scinaioides	obligate	complex	yes	NA	13	2511886432	1	1	f	3	adult	sarconema_scinaioides	5.17539321618502e-09	12	4.77728604570925e-09	2
schimmelmannia_dawsonii	obligate	complex	yes	NA	11	2.51e+11	1	1	NA	3	adult	schimmelmannia_dawsonii	4.38247011952191e-11	10	3.98406374501992e-11	2
schmitzia_hiscockiana	obligate	complex	yes	NA	14	2e+11	1	1	f	3	adult	schmitzia_hiscockiana	7e-11	13	6.5e-11	2
scytosiphon_lomentaria	obligate	complex	yes	NA	4	794328235	1	1	f	3	adult	scytosiphon_lomentaria	5.03570164542873e-09	3	3.77677623407155e-09	2
selenipedium_palmifolium	obligate	complex	yes	NA	35	1.2589e+10	1	0	b	3	adult	selenipedium_palmifolium	2.78020494082135e-09	34	2.70077051394074e-09	2
sphacelaria_cirrosa	obligate	complex	yes	NA	9	1258925412	1	1	f	3	adult	sphacelaria_cirrosa	7.14895411134969e-09	8	6.35462587675528e-09	2
sphaerobolus_stellatus	obligate	complex	yes	NA	9	1258926	1	1	f	3	adult	sphaerobolus_stellatus	7.14895077232498e-06	8	6.35462290873332e-06	2
sphagnum_recurvum	obligate	complex	yes	NA	11	891250938	NA	NA	b	3	adult	sphagnum_recurvum	1.23422029991737e-08	10	1.12201845447034e-08	2
spirobranchus_triqueter	obligate	complex	yes	NA	12	70795	1	0	none	1,2	early	spirobranchus_triqueter	0.000169503496009605	11	0.000155378204675471	1
spongilla_lacustris	obligate	complex	yes	NA	16	10000	1	1	fission	3	adult	spongilla_lacustris	0.0016	15	0.0015	2
symphyogyna_brongniartii	obligate	complex	yes	NA	13	446684	1	0	b	3	adult	symphyogyna_brongniartii	2.91033482282777e-05	12	2.68646291337948e-05	2
syringoderma_phinneyi	obligate	complex	yes	NA	6	199527	1	0	NA	3	adult	syringoderma_phinneyi	3.00711181945301e-05	5	2.50592651621084e-05	2
tetrabaena_socialis	obligate	simple	no	0	1	4	1	1	f	0	no_germline	tetrabaena_socialis	0.25	0	0	0
thalassoanaperus_sulcatus	obligate	complex	yes	NA	9	125892542	0	0	?	3	adult	thalassoanaperus_sulcatus	7.14895406592076e-08	8	6.35462583637401e-08	2
trichoplax_adhaerens	obligate	complex	yes	NA	4	317	1	1	fission	3	adult	trichoplax_adhaerens	0.0126182965299685	3	0.00946372239747634	2
turbanella_cornuta	obligate	complex	yes	NA	18	7080	1	0	none	1	early	turbanella_cornuta	0.00254237288135593	17	0.00240112994350283	1
valvognathia_pogonostoma	obligate	complex	yes	NA	15	1779	1	0	none	?	NA	valvognathia_pogonostoma	0.00843170320404722	14	0.00786958965711074	NA
volvox_africanus	obligate	simple	yes	99.9	2	8192	1	0	NA	3	adult	volvox_africanus	0.000244140625	1	0.0001220703125	2
volvox_aureus	obligate	simple	yes	NA	2	2048	1	0	NA	3	adult	volvox_aureus	0.0009765625	1	0.00048828125	2
volvox_barberi	obligate	simple	yes	99.98	2	32768	1	0	NA	3	adult	volvox_barberi	6.103515625e-05	1	3.0517578125e-05	2
volvox_carteri_f._kawasakiensis	obligate	simple	yes	99	2	2048	1	0	NA	2	early	volvox_carteri_f._kawasakiensis	0.0009765625	1	0.00048828125	1
volvox_carteri_f._nagariensis	obligate	simple	yes	99	2	4096	1	0	NA	2	early	volvox_carteri_f._nagariensis	0.00048828125	1	0.000244140625	1
volvox_carteri_f._weismannia	obligate	simple	yes	99	2	2048	1	0	NA	2	early	volvox_carteri_f._weismannia	0.0009765625	1	0.00048828125	1
volvox_dissipatrix	obligate	simple	yes	NA	2	16384	1	0	NA	3	adult	volvox_dissipatrix	0.0001220703125	1	6.103515625e-05	2
volvox_gigas	obligate	simple	yes	93.75	2	4096	1	0	NA	3	adult	volvox_gigas	0.00048828125	1	0.000244140625	2
volvox_globator	obligate	simple	yes	NA	2	16384	1	0	NA	3	adult	volvox_globator	0.0001220703125	1	6.103515625e-05	2
volvox_obversus	obligate	simple	yes	NA	2	2048	1	0	NA	2	early	volvox_obversus	0.0009765625	1	0.00048828125	1
volvox_rousseletii	obligate	simple	yes	NA	2	32768	1	0	NA	3	adult	volvox_rousseletii	6.103515625e-05	1	3.0517578125e-05	2
volvox_tertius	obligate	simple	yes	98.8	2	1024	1	0	NA	3	adult	volvox_tertius	0.001953125	1	0.0009765625	2
volvulina_boldii	obligate	simple	no	0	1	16	1	0	NA	0	no_germline	volvulina_boldii	0.0625	0	0	0
volvulina_compacta	obligate	simple	no	0	1	16	1	0	NA	0	no_germline	volvulina_compacta	0.0625	0	0	0
volvulina_pringsheimii	obligate	simple	no	0	1	16	1	0	NA	0	no_germline	volvulina_pringsheimii	0.0625	0	0	0
volvulina_steinii	obligate	simple	no	0	1	16	1	0	NA	0	no_germline	volvulina_steinii	0.0625	0	0	0
wolffia_arrhiza	obligate	complex	yes	NA	5	10000	0	1	b	3	adult	wolffia_arrhiza	5e-04	4	4e-04	2
wolffia_microscopica	obligate	complex	yes	NA	7	70795	1	1	b	3	adult	wolffia_microscopica	9.88770393389364e-05	6	8.47517480048026e-05	2
yamadaella caenomyce	obligate	complex	yes	NA	7	3981071706	1	0	none	3	adult	yamadaella caenomyce	1.75832050185132e-09	6	1.5071318587297e-09	2
yamagishiella_unicocca	obligate	simple	no	0	1	32	1	0	NA	0	no_germline	yamagishiella_unicocca	0.03125	0	0	0
zeacarpa_leiomorpha	obligate	complex	yes	NA	8	7943282347	1	0	NA	3	adult	zeacarpa_leiomorpha	1.00714032946612e-09	7	8.81247788282856e-10	2
zoothamnium_alternans	obligate	simple	yes	NA	4	142	1	0	NA	3	adult	zoothamnium_alternans	0.028169014084507	3	0.0211267605633803	2
